index,mid,display_name,classification
115,/m/0h0rv,"Pigeon, dove",biophonic
116,/m/07r_25d,Coo,biophonic
117,/m/04s8yn,Crow,biophonic
118,/m/07r5c2p,Caw,biophonic
119,/m/09d5_,Owl,biophonic
120,/m/07r_80w,Hoot,biophonic
121,/m/05_wcq,"Bird flight, flapping wings",biophonic
122,/m/01z5f,"Canidae, dogs, wolves",biophonic
123,/m/06hps,"Rodents, rats, mice",biophonic
124,/m/04rmv,Mouse,biophonic
125,/m/07r4gkf,Patter,biophonic
126,/m/03vt0,Insect,biophonic
127,/m/09xqv,Cricket,biophonic
128,/m/09f96,Mosquito,biophonic
129,/m/0h2mp,"Fly, housefly",biophonic
130,/m/07pjwq1,Buzz,biophonic
131,/m/01h3n,"Bee, wasp, etc.",biophonic
132,/m/09ld4,Frog,biophonic
133,/m/07st88b,Croak,biophonic
134,/m/078jl,Snake,biophonic
135,/m/07qn4z3,Rattle,biophonic
136,/m/032n05,Whale vocalization,biophonic
137,/m/04rlf,Music,anthropophonic
138,/m/04szw,Musical instrument,anthropophonic
139,/m/0fx80y,Plucked string instrument,anthropophonic
140,/m/0342h,Guitar,anthropophonic
141,/m/02sgy,Electric guitar,anthropophonic
142,/m/018vs,Bass guitar,anthropophonic
143,/m/042v_gx,Acoustic guitar,anthropophonic
144,/m/06w87,"Steel guitar, slide guitar",anthropophonic
145,/m/01glhc,Tapping (guitar technique),anthropophonic
146,/m/07s0s5r,Strum,anthropophonic
147,/m/018j2,Banjo,anthropophonic
148,/m/0jtg0,Sitar,anthropophonic
149,/m/04rzd,Mandolin,anthropophonic
150,/m/01bns_,Zither,anthropophonic
151,/m/07xzm,Ukulele,anthropophonic
152,/m/05148p4,Keyboard (musical),anthropophonic
153,/m/05r5c,Piano,anthropophonic
154,/m/01s0ps,Electric piano,anthropophonic
155,/m/013y1f,Organ,anthropophonic
156,/m/03xq_f,Electronic organ,anthropophonic
157,/m/03gvt,Hammond organ,anthropophonic
158,/m/0l14qv,Synthesizer,anthropophonic
159,/m/01v1d8,Sampler,anthropophonic
160,/m/03q5t,Harpsichord,anthropophonic
161,/m/0l14md,Percussion,anthropophonic
162,/m/02hnl,Drum kit,anthropophonic
163,/m/0cfdd,Drum machine,anthropophonic
164,/m/026t6,Drum,anthropophonic
165,/m/06rvn,Snare drum,anthropophonic
166,/m/03t3fj,Rimshot,anthropophonic
167,/m/02k_mr,Drum roll,anthropophonic
168,/m/0bm02,Bass drum,anthropophonic
169,/m/011k_j,Timpani,anthropophonic
170,/m/01p970,Tabla,anthropophonic
171,/m/01qbl,Cymbal,anthropophonic
172,/m/03qtq,Hi-hat,anthropophonic
173,/m/01sm1g,Wood block,anthropophonic
174,/m/07brj,Tambourine,anthropophonic
175,/m/05r5wn,Rattle (instrument),anthropophonic
176,/m/0xzly,Maraca,anthropophonic
177,/m/0mbct,Gong,anthropophonic
178,/m/016622,Tubular bells,anthropophonic
179,/m/0j45pbj,Mallet percussion,anthropophonic
180,/m/0dwsp,"Marimba, xylophone",anthropophonic
181,/m/0dwtp,Glockenspiel,anthropophonic
182,/m/0dwt5,Vibraphone,anthropophonic
183,/m/0l156b,Steelpan,anthropophonic
184,/m/05pd6,Orchestra,anthropophonic
185,/m/01kcd,Brass instrument,anthropophonic
186,/m/0319l,French horn,anthropophonic
187,/m/07gql,Trumpet,anthropophonic
188,/m/07c6l,Trombone,anthropophonic
189,/m/0l14_3,Bowed string instrument,anthropophonic
190,/m/02qmj0d,String section,anthropophonic
191,/m/07y_7,"Violin, fiddle",anthropophonic
192,/m/0d8_n,Pizzicato,anthropophonic
193,/m/01xqw,Cello,anthropophonic
194,/m/02fsn,Double bass,anthropophonic
195,/m/085jw,"Wind instrument, woodwind instrument",anthropophonic
196,/m/0l14j_,Flute,anthropophonic
197,/m/06ncr,Saxophone,anthropophonic
198,/m/01wy6,Clarinet,anthropophonic
199,/m/03m5k,Harp,anthropophonic
200,/m/0395lw,Bell,anthropophonic
201,/m/03w41f,Church bell,anthropophonic
202,/m/027m70_,Jingle bell,anthropophonic
203,/m/0gy1t2s,Bicycle bell,anthropophonic
204,/m/07n_g,Tuning fork,anthropophonic
205,/m/0f8s22,Chime,anthropophonic
206,/m/026fgl,Wind chime,anthropophonic
207,/m/0150b9,Change ringing (campanology),anthropophonic
208,/m/03qjg,Harmonica,anthropophonic
209,/m/0mkg,Accordion,anthropophonic
210,/m/0192l,Bagpipes,anthropophonic
211,/m/02bxd,Didgeridoo,anthropophonic
212,/m/0l14l2,Shofar,anthropophonic
213,/m/07kc_,Theremin,anthropophonic
214,/m/0l14t7,Singing bowl,anthropophonic
215,/m/01hgjl,Scratching (performance technique),anthropophonic
216,/m/064t9,Pop music,anthropophonic
217,/m/0glt670,Hip hop music,anthropophonic
218,/m/02cz_7,Beatboxing,anthropophonic
219,/m/06by7,Rock music,anthropophonic
220,/m/03lty,Heavy metal,anthropophonic
221,/m/05r6t,Punk rock,anthropophonic
222,/m/0dls3,Grunge,anthropophonic
223,/m/0dl5d,Progressive rock,anthropophonic
224,/m/07sbbz2,Rock and roll,anthropophonic
225,/m/05w3f,Psychedelic rock,anthropophonic
226,/m/06j6l,Rhythm and blues,anthropophonic
227,/m/0gywn,Soul music,anthropophonic
228,/m/06cqb,Reggae,anthropophonic
229,/m/01lyv,Country,anthropophonic
230,/m/015y_n,Swing music,anthropophonic
231,/m/0gg8l,Bluegrass,anthropophonic
232,/m/02x8m,Funk,anthropophonic
233,/m/02w4v,Folk music,anthropophonic
234,/m/06j64v,Middle Eastern music,anthropophonic
235,/m/03_d0,Jazz,anthropophonic
236,/m/026z9,Disco,anthropophonic
237,/m/0ggq0m,Classical music,anthropophonic
238,/m/05lls,Opera,anthropophonic
239,/m/02lkt,Electronic music,anthropophonic
240,/m/03mb9,House music,anthropophonic
241,/m/07gxw,Techno,anthropophonic
242,/m/07s72n,Dubstep,anthropophonic
243,/m/0283d,Drum and bass,anthropophonic
244,/m/0m0jc,Electronica,anthropophonic
245,/m/08cyft,Electronic dance music,anthropophonic
246,/m/0fd3y,Ambient music,anthropophonic
247,/m/07lnk,Trance music,anthropophonic
248,/m/0g293,Music of Latin America,anthropophonic
249,/m/0ln16,Salsa music,anthropophonic
250,/m/0326g,Flamenco,anthropophonic
251,/m/0155w,Blues,anthropophonic
252,/m/05fw6t,Music for children,anthropophonic
253,/m/02v2lh,New-age music,anthropophonic
254,/m/0y4f8,Vocal music,anthropophonic
255,/m/0z9c,A capella,anthropophonic
256,/m/0164x2,Music of Africa,anthropophonic
257,/m/0145m,Afrobeat,anthropophonic
258,/m/02mscn,Christian music,anthropophonic
259,/m/016cjb,Gospel music,anthropophonic
260,/m/028sqc,Music of Asia,anthropophonic
261,/m/015vgc,Carnatic music,anthropophonic
262,/m/0dq0md,Music of Bollywood,anthropophonic
263,/m/06rqw,Ska,anthropophonic
264,/m/02p0sh1,Traditional music,anthropophonic
265,/m/05rwpb,Independent music,anthropophonic
266,/m/074ft,Song,anthropophonic
267,/m/025td0t,Background music,anthropophonic
268,/m/02cjck,Theme music,anthropophonic
269,/m/03r5q_,Jingle (music),anthropophonic
270,/m/0l14gg,Soundtrack music,anthropophonic
271,/m/07pkxdp,Lullaby,anthropophonic
272,/m/01z7dr,Video game music,anthropophonic
273,/m/0140xf,Christmas music,anthropophonic
274,/m/0ggx5q,Dance music,anthropophonic
275,/m/04wptg,Wedding music,anthropophonic
276,/t/dd00031,Happy music,anthropophonic
277,/t/dd00032,Funny music,anthropophonic
278,/t/dd00033,Sad music,anthropophonic
279,/t/dd00034,Tender music,anthropophonic
280,/t/dd00035,Exciting music,anthropophonic
281,/t/dd00036,Angry music,anthropophonic
282,/t/dd00037,Scary music,anthropophonic
283,/m/03m9d0z,Wind,geophonic
284,/m/09t49,Rustling leaves,geophonic
285,/t/dd00092,Wind noise (microphone),geophonic
286,/m/0jb2l,Thunderstorm,geophonic
287,/m/0ngt1,Thunder,geophonic
288,/m/0838f,Water,geophonic
289,/m/06mb1,Rain,geophonic
290,/m/07r10fb,Raindrop,geophonic
291,/t/dd00038,Rain on surface,geophonic
292,/m/0j6m2,Stream,geophonic
293,/m/0j2kx,Waterfall,geophonic
294,/m/05kq4,Ocean,geophonic
295,/m/034srq,"Waves, surf",geophonic
296,/m/06wzb,Steam,geophonic
297,/m/07swgks,Gurgling,geophonic
298,/m/02_41,Fire,geophonic
299,/m/07pzfmf,Crackle,geophonic
300,/m/07yv9,Vehicle,anthropophonic
301,/m/019jd,"Boat, Water vehicle",anthropophonic
302,/m/0hsrw,"Sailboat, sailing ship",anthropophonic
303,/m/056ks2,"Rowboat, canoe, kayak",anthropophonic
304,/m/02rlv9,"Motorboat, speedboat",anthropophonic
305,/m/06q74,Ship,anthropophonic
306,/m/012f08,Motor vehicle (road),anthropophonic
307,/m/0k4j,Car,anthropophonic
308,/m/0912c9,"Vehicle horn, car horn, honking",anthropophonic
309,/m/07qv_d5,Toot,anthropophonic
310,/m/02mfyn,Car alarm,anthropophonic
311,/m/04gxbd,"Power windows, electric windows",anthropophonic
312,/m/07rknqz,Skidding,anthropophonic
313,/m/0h9mv,Tire squeal,anthropophonic
314,/t/dd00134,Car passing by,anthropophonic
315,/m/0ltv,"Race car, auto racing",anthropophonic
316,/m/07r04,Truck,anthropophonic
317,/m/0gvgw0,Air brake,anthropophonic
318,/m/05x_td,"Air horn, truck horn",anthropophonic
319,/m/02rhddq,Reversing beeps,anthropophonic
320,/m/03cl9h,"Ice cream truck, ice cream van",anthropophonic
321,/m/01bjv,Bus,anthropophonic
322,/m/03j1ly,Emergency vehicle,anthropophonic
323,/m/04qvtq,Police car (siren),anthropophonic
324,/m/012n7d,Ambulance (siren),anthropophonic
325,/m/012ndj,"Fire engine, fire truck (siren)",anthropophonic
326,/m/04_sv,Motorcycle,anthropophonic
327,/m/0btp2,"Traffic noise, roadway noise",anthropophonic
328,/m/06d_3,Rail transport,anthropophonic
329,/m/07jdr,Train,anthropophonic
330,/m/04zmvq,Train whistle,anthropophonic
331,/m/0284vy3,Train horn,anthropophonic
332,/m/01g50p,"Railroad car, train wagon",anthropophonic
333,/t/dd00048,Train wheels squealing,anthropophonic
334,/m/0195fx,"Subway, metro, underground",anthropophonic
335,/m/0k5j,Aircraft,anthropophonic
336,/m/014yck,Aircraft engine,anthropophonic
337,/m/04229,Jet engine,anthropophonic
338,/m/02l6bg,"Propeller, airscrew",anthropophonic
339,/m/09ct_,Helicopter,anthropophonic
340,/m/0cmf2,"Fixed-wing aircraft, airplane",anthropophonic
341,/m/0199g,Bicycle,anthropophonic
342,/m/06_fw,Skateboard,anthropophonic
343,/m/02mk9,Engine,anthropophonic
344,/t/dd00065,Light engine (high frequency),anthropophonic
345,/m/08j51y,"Dental drill, dentist's drill",anthropophonic
346,/m/01yg9g,Lawn mower,anthropophonic
347,/m/01j4z9,Chainsaw,anthropophonic
348,/t/dd00066,Medium engine (mid frequency),anthropophonic
349,/t/dd00067,Heavy engine (low frequency),anthropophonic
350,/m/01h82_,Engine knocking,anthropophonic
351,/t/dd00130,Engine starting,anthropophonic
352,/m/07pb8fc,Idling,anthropophonic
353,/m/07q2z82,"Accelerating, revving, vroom",anthropophonic
354,/m/02dgv,Door,anthropophonic
355,/m/03wwcy,Doorbell,anthropophonic
356,/m/07r67yg,Ding-dong,anthropophonic
357,/m/02y_763,Sliding door,anthropophonic
358,/m/07rjzl8,Slam,anthropophonic
359,/m/07r4wb8,Knock,anthropophonic
360,/m/07qcpgn,Tap,anthropophonic
361,/m/07q6cd_,Squeak,anthropophonic
362,/m/0642b4,Cupboard open or close,anthropophonic
363,/m/0fqfqc,Drawer open or close,anthropophonic
364,/m/04brg2,"Dishes, pots, and pans",anthropophonic
365,/m/023pjk,"Cutlery, silverware",anthropophonic
366,/m/07pn_8q,Chopping (food),anthropophonic
367,/m/0dxrf,Frying (food),anthropophonic
368,/m/0fx9l,Microwave oven,anthropophonic
369,/m/02pjr4,Blender,anthropophonic
370,/m/02jz0l,"Water tap, faucet",anthropophonic
371,/m/0130jx,Sink (filling or washing),anthropophonic
372,/m/03dnzn,Bathtub (filling or washing),anthropophonic
373,/m/03wvsk,Hair dryer,anthropophonic
374,/m/01jt3m,Toilet flush,anthropophonic
375,/m/012xff,Toothbrush,anthropophonic
376,/m/04fgwm,Electric toothbrush,anthropophonic
377,/m/0d31p,Vacuum cleaner,anthropophonic
378,/m/01s0vc,Zipper (clothing),anthropophonic
379,/m/03v3yw,Keys jangling,anthropophonic
380,/m/0242l,Coin (dropping),anthropophonic
381,/m/01lsmm,Scissors,anthropophonic
382,/m/02g901,"Electric shaver, electric razor",anthropophonic
383,/m/05rj2,Shuffling cards,anthropophonic
384,/m/0316dw,Typing,anthropophonic
385,/m/0c2wf,Typewriter,anthropophonic
386,/m/01m2v,Computer keyboard,anthropophonic
387,/m/081rb,Writing,anthropophonic
388,/m/07pp_mv,Alarm,anthropophonic
389,/m/07cx4,Telephone,anthropophonic
390,/m/07pp8cl,Telephone bell ringing,anthropophonic
391,/m/01hnzm,Ringtone,anthropophonic
392,/m/02c8p,"Telephone dialing, DTMF",anthropophonic
393,/m/015jpf,Dial tone,anthropophonic
394,/m/01z47d,Busy signal,anthropophonic
395,/m/046dlr,Alarm clock,anthropophonic
396,/m/03kmc9,Siren,anthropophonic
397,/m/0dgbq,Civil defense siren,anthropophonic
398,/m/030rvx,Buzzer,anthropophonic
399,/m/01y3hg,"Smoke detector, smoke alarm",anthropophonic
400,/m/0c3f7m,Fire alarm,anthropophonic
401,/m/04fq5q,Foghorn,anthropophonic
402,/m/0l156k,Whistle,anthropophonic
403,/m/06hck5,Steam whistle,anthropophonic
404,/t/dd00077,Mechanisms,anthropophonic
405,/m/02bm9n,"Ratchet, pawl",anthropophonic
406,/m/01x3z,Clock,anthropophonic
407,/m/07qjznt,Tick,anthropophonic
408,/m/07qjznl,Tick-tock,anthropophonic
409,/m/0l7xg,Gears,anthropophonic
410,/m/05zc1,Pulleys,anthropophonic
411,/m/0llzx,Sewing machine,anthropophonic
412,/m/02x984l,Mechanical fan,anthropophonic
413,/m/025wky1,Air conditioning,anthropophonic
414,/m/024dl,Cash register,anthropophonic
415,/m/01m4t,Printer,anthropophonic
416,/m/0dv5r,Camera,anthropophonic
417,/m/07bjf,Single-lens reflex camera,anthropophonic
418,/m/07k1x,Tools,anthropophonic
419,/m/03l9g,Hammer,anthropophonic
420,/m/03p19w,Jackhammer,anthropophonic
421,/m/01b82r,Sawing,anthropophonic
422,/m/02p01q,Filing (rasp),anthropophonic
423,/m/023vsd,Sanding,anthropophonic
424,/m/0_ksk,Power tool,anthropophonic
425,/m/01d380,Drill,anthropophonic
426,/m/014zdl,Explosion,anthropophonic
427,/m/032s66,"Gunshot, gunfire",anthropophonic
428,/m/04zjc,Machine gun,anthropophonic
429,/m/02z32qm,Fusillade,anthropophonic
430,/m/0_1c,Artillery fire,anthropophonic
431,/m/073cg4,Cap gun,anthropophonic
432,/m/0g6b5,Fireworks,anthropophonic
433,/g/122z_qxw,Firecracker,anthropophonic
434,/m/07qsvvw,"Burst, pop",anthropophonic
435,/m/07pxg6y,Eruption,anthropophonic
436,/m/07qqyl4,Boom,anthropophonic
437,/m/083vt,Wood,anthropophonic
438,/m/07pczhz,Chop,anthropophonic
439,/m/07pl1bw,Splinter,anthropophonic
440,/m/07qs1cx,Crack,anthropophonic
441,/m/039jq,Glass,anthropophonic
442,/m/07q7njn,"Chink, clink",anthropophonic
443,/m/07rn7sz,Shatter,anthropophonic
444,/m/04k94,Liquid,anthropophonic
445,/m/07rrlb6,"Splash, splatter",anthropophonic
446,/m/07p6mqd,Slosh,anthropophonic
447,/m/07qlwh6,Squish,anthropophonic
448,/m/07r5v4s,Drip,anthropophonic
449,/m/07prgkl,Pour,anthropophonic
450,/m/07pqc89,"Trickle, dribble",anthropophonic
451,/t/dd00088,Gush,anthropophonic
452,/m/07p7b8y,Fill (with liquid),anthropophonic
453,/m/07qlf79,Spray,anthropophonic
454,/m/07ptzwd,Pump (liquid),anthropophonic
455,/m/07ptfmf,Stir,anthropophonic
456,/m/0dv3j,Boiling,anthropophonic
457,/m/0790c,Sonar,anthropophonic
458,/m/0dl83,Arrow,anthropophonic
459,/m/07rqsjt,"Whoosh, swoosh, swish",anthropophonic
460,/m/07qnq_y,"Thump, thud",anthropophonic
461,/m/07rrh0c,Thunk,anthropophonic
462,/m/0b_fwt,Electronic tuner,anthropophonic
463,/m/02rr_,Effects unit,anthropophonic
464,/m/07m2kt,Chorus effect,anthropophonic
465,/m/018w8,Basketball bounce,anthropophonic
466,/m/07pws3f,Bang,miscellaneous
467,/m/07ryjzk,"Slap, smack",miscellaneous
468,/m/07rdhzs,"Whack, thwack",miscellaneous
469,/m/07pjjrj,"Smash, crash",miscellaneous
470,/m/07pc8lb,Breaking,miscellaneous
471,/m/07pqn27,Bouncing,miscellaneous
472,/m/07rbp7_,Whip,miscellaneous
473,/m/07pyf11,Flap,miscellaneous
474,/m/07qb_dv,Scratch,miscellaneous
475,/m/07qv4k0,Scrape,miscellaneous
476,/m/07pdjhy,Rub,miscellaneous
477,/m/07s8j8t,Roll,miscellaneous
478,/m/07plct2,Crushing,miscellaneous
479,/t/dd00112,"Crumpling, crinkling",miscellaneous
480,/m/07qcx4z,Tearing,miscellaneous
481,/m/02fs_r,"Beep, bleep",miscellaneous
482,/m/07qwdck,Ping,miscellaneous
483,/m/07phxs1,Ding,miscellaneous
484,/m/07rv4dm,Clang,miscellaneous
485,/m/07s02z0,Squeal,miscellaneous
486,/m/07qh7jl,Creak,miscellaneous
487,/m/07qwyj0,Rustle,miscellaneous
488,/m/07s34ls,Whir,miscellaneous
489,/m/07qmpdm,Clatter,miscellaneous
490,/m/07p9k1k,Sizzle,miscellaneous
491,/m/07qc9xj,Clicking,miscellaneous
492,/m/07rwm0c,Clickety-clack,miscellaneous
493,/m/07phhsh,Rumble,miscellaneous
494,/m/07qyrcz,Plop,miscellaneous
495,/m/07qfgpx,"Jingle, tinkle",miscellaneous
496,/m/07rcgpl,Hum,miscellaneous
497,/m/07p78v5,Zing,miscellaneous
498,/t/dd00121,Boing,miscellaneous
499,/m/07s12q4,Crunch,miscellaneous
500,/m/028v0c,Silence,miscellaneous
501,/m/01v_m0,Sine wave,miscellaneous
502,/m/0b9m1,Harmonic,miscellaneous
503,/m/0hdsk,Chirp tone,miscellaneous
504,/m/0c1dj,Sound effect,miscellaneous
505,/m/07pt_g0,Pulse,miscellaneous
506,/t/dd00125,"Inside, small room",miscellaneous
507,/t/dd00126,"Inside, large room or hall",miscellaneous
508,/t/dd00127,"Inside, public space",miscellaneous
509,/t/dd00128,"Outside, urban or manmade",miscellaneous
510,/t/dd00129,"Outside, rural or natural",miscellaneous
511,/m/01b9nn,Reverberation,miscellaneous
512,/m/01jnbd,Echo,miscellaneous
513,/m/096m7z,Noise,miscellaneous
514,/m/06_y0by,Environmental noise,miscellaneous
515,/m/07rgkc5,Static,miscellaneous
516,/m/06xkwv,Mains hum,miscellaneous
517,/m/0g12c5,Distortion,miscellaneous
518,/m/08p9q4,Sidetone,miscellaneous
519,/m/07szfh9,Cacophony,miscellaneous
520,/m/0chx_,White noise,miscellaneous
521,/m/0cj0r,Pink noise,miscellaneous
522,/m/07p_0gm,Throbbing,miscellaneous
523,/m/01jwx6,Vibration,miscellaneous
524,/m/07c52,Television,anthropophonic
525,/m/06bz3,Radio,anthropophonic
526,/m/07hvw1,Field recording,anthropophonic
